generation,best_loss,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18,city_19,city_20,city_21,city_22,city_23,city_24,city_25,city_26,city_27,city_28,city_29,city_30,city_31,city_32,city_33,city_34
117,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
118,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
119,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
120,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
121,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
122,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
123,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
124,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
125,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
126,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
127,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
128,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
129,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
130,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
131,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
132,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
133,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
134,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
135,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
136,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
137,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
138,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
139,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
140,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
141,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
142,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
143,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
144,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
145,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
146,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
147,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
148,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
149,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
150,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
151,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
152,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
153,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
154,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
155,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
156,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
157,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
158,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
159,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
160,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
161,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
162,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
163,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
164,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
165,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
166,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
167,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
168,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
169,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
170,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
171,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
172,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
173,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
174,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
175,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
176,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
177,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
178,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
179,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
180,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
181,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
182,4.87994,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,13,19,30,12,7,32,23,8,11,15,14,3,25,10,2,5,21,27,18
